Date,Total Screen Time (hrs),Social (hrs),Productivity & Finance (hrs),Entertainment (hrs),Other Categories,Most Used Apps,Pickups (Count),First Used After Pickup,Notifications (Daily Average),Week Comparison
"April 24, 2025 (Day 1)",1h 16m,Not Available,Not Available,Not Available,"Utilities (9m), Creativity (4m)","Instagram, Chrome, Settings, WhatsApp",7,Not Available,Not Available,Not Available
"April 25, 2025 (Day 2)",1h 37m,1h 33m,12m,Not Available,Travel (4m),"Instagram, WhatsApp, Notes",1,Settings,Not Available,Not Available
"April 27, 2025 (Day 3)",Not Available,Not Available,Not Available,Not Available,Not Available,"Gmail, YouTube, WhatsApp, Instagram, Snapchat",Not Available,Settings,Not Available,Not Available
"April 27, 2025 (Day 4)",Not Available,Not Available,Not Available,Not Available,Not Available,"Gmail, YouTube, WhatsApp, Instagram, Snapchat",Not Available,Settings,Not Available,Not Available
"April 28, 2025 (Day 5)",Not Available,Not Available,Not Available,Not Available,Not Available,"WhatsApp, Gmail, LinkedIn, Instagram",Not Available,WhatsApp,144,Not Available
Previous Week to Day-1,Not Available,Not Available,Not Available,Not Available,Not Available,"Google, Postmates, Snapchat, LinkedIn, Gmail, BofA, YouTube Music, Chrome, ChatGPT, Phone, Google Maps, ASU, Baal",Not Available,Not Available,Not Available,Not Available
